NetAlan,Sehir,Ilce,Mahalle,Fiyat,OdaSayisi,SalonSayisi,BinaYasi,BalkonSayisi,SiteIcerisinde,KatTipi
160.0,Istanbul,Şişli,Esentepe,8750000,3.5,1.0,20,2,0,Normal
85.0,Istanbul,Kartal,Topselvi,4899000,2.0,1.0,16,1,0,Normal
110.0,Istanbul,Tuzla,Aydınlı,5900000,3.0,1.0,16,1,0,Normal
200.0,Istanbul,Sultanbeyli,Necipfazıl,6999999,6.0,1.0,22,1,1,Tripleks
120.0,Istanbul,Esenyurt,Haramidere,1625000,2.0,1.0,30,2,1,Normal
95.0,Istanbul,Kağıthane,Çağlayan,5850000,2.0,1.0,15,1,0,Normal
175.0,Istanbul,Başakşehir,Bahçeşehir,10600000,3.5,1.0,14,1,1,Dubleks
210.0,Istanbul,Fatih,Kocamustafapaşa,6750000,5.0,1.0,29,2,0,Normal
100.0,Istanbul,Esenyurt,Haramidere,1175000,2.0,1.0,28,2,1,Normal
100.0,Istanbul,Esenyurt,Haramidere,1059000,2.0,1.0,29,2,0,Normal
125.0,Istanbul,Esenyurt,Haramidere,2239999,2.0,1.0,30,1,0,Normal
110.0,Istanbul,Esenyurt,Kıraç,2199999,2.0,1.0,25,1,0,Normal
120.0,Istanbul,Esenler,Sanayi,2799999,2.0,1.0,30,2,0,Normal
100.0,Istanbul,Esenyurt,Kıraç,919000,2.0,1.0,30,2,0,Normal
115.0,Istanbul,Esenyurt,Kıraç,1799999,2.0,1.0,27,1,0,Normal
105.0,Istanbul,Esenyurt,Kıraç,1340000,2.0,1.0,30,2,1,Normal
125.0,Istanbul,Esenyurt,Kıraç,2650000,2.0,1.0,24,2,1,Normal
115.0,Istanbul,Esenyurt,Haramidere,1349000,2.0,1.0,28,0,0,Normal
110.0,Istanbul,Esenyurt,Haramidere,1350000,2.0,1.0,27,2,1,Normal
115.0,Istanbul,Esenyurt,Haramidere,1599999,2.0,1.0,29,1,0,Normal
120.0,Istanbul,Esenyurt,Haramidere,2650000,2.0,1.0,14,2,1,Normal
85.0,Istanbul,Esenyurt,Haramidere,1499999,1.0,1.0,28,0,1,Normal
120.0,Istanbul,Esenyurt,Haramidere,1629999,2.0,1.0,26,1,0,Normal
100.0,Istanbul,Esenyurt,Kıraç,3490000,2.0,1.0,2,1,1,Normal
70.0,Istanbul,Zeytinburnu,Çırpıcı,3650000,2.0,1.0,18,0,1,Normal
100.0,Istanbul,Esenyurt,Haramidere,4100000,2.0,1.0,0,2,0,Normal
200.0,Istanbul,Beylikdüzü,Yakuplu,5650000,4.0,2.0,20,1,0,Normal
200.0,Istanbul,Başakşehir,Bahçeşehir,11950000,4.0,1.0,16,1,1,Dubleks
230.0,Istanbul,Kartal,Topselvi,12500000,4.0,2.0,23,2,0,Dubleks
189.0,Istanbul,Ataşehir,Örnek,21750000,3.0,1.0,1,1,1,Normal
90.0,Istanbul,Fatih,Kocamustafapaşa,3350000,2.0,1.0,24,0,0,Normal
110.0,Istanbul,Fatih,Fevzipaşa,3500000,3.0,1.0,28,1,0,Normal
129.0,Istanbul,Esenyurt,Haramidere,4000000,3.0,1.0,7,1,1,Normal
210.0,Istanbul,Sultanbeyli,Necipfazıl,5950000,5.0,2.0,30,1,0,Dubleks
158.0,Istanbul,Esenyurt,Haramidere,4850000,2.0,1.0,5,1,1,Normal
135.0,Istanbul,Üsküdar,Altunizade,18800000,3.0,1.0,2,2,1,Normal
125.0,Istanbul,Bahçelievler,Merkez,5175000,3.0,1.0,16,2,0,Normal
190.0,Istanbul,Gaziosmanpaşa,Fevziçakmak,7450000,5.0,1.0,12,2,0,Dubleks
245.0,Istanbul,Büyükçekmece,Merkez,13250000,4.0,1.0,6,1,1,Normal
100.0,Istanbul,Esenyurt,Haramidere,1990000,2.0,1.0,20,1,1,Normal
110.0,Istanbul,Sultanbeyli,Necipfazıl,5350000,3.0,1.0,4,2,0,Normal
75.0,Istanbul,Esenyurt,Haramidere,1950000,1.0,1.0,11,0,0,Normal
240.0,Istanbul,Çekmeköy,Alemdağ(Alemdar),12500000,5.0,2.0,22,2,0,Dubleks
135.0,Istanbul,Esenyurt,Kıraç,3650000,3.0,1.0,6,1,1,Normal
230.0,Istanbul,Bakırköy,Yeşilköy,22000000,3.0,1.0,9,2,1,Normal
90.0,Istanbul,Küçükçekmece,Merkez,3850000,2.0,1.0,16,1,0,Normal
90.0,Istanbul,Beylikdüzü,Yakuplu,4150000,2.0,1.0,1,0,1,Normal
90.0,Istanbul,Bağcılar,Barbaros/Yeşilbağ,8200000,2.0,1.0,2,1,0,Normal
125.0,Istanbul,Sultangazi,Sultançiftliği,8150000,2.0,1.0,2,1,0,Normal
170.0,Istanbul,Kartal,Rahmanlar (Atalar),12750000,3.0,1.0,5,1,1,Normal
95.0,Istanbul,Ümraniye,Atakent,8450000,2.0,1.0,10,0,0,Normal
65.0,Istanbul,Kadıköy,Caferağa,7000000,1.0,1.0,25,1,0,Normal
114.0,Istanbul,Çekmeköy,Taşdelen,7999000,2.0,1.0,7,1,0,Normal
135.0,Istanbul,Esenyurt,Kıraç,1950000,3.0,1.0,27,1,0,Normal
95.0,Istanbul,Esenler,Birlik,2100000,2.0,1.0,30,1,0,Normal
85.0,Istanbul,Şişli,Feriköy,3200000,1.0,1.0,28,0,0,Normal
160.0,Istanbul,Eyüpsultan,Göktürk,9500000,3.0,2.0,4,3,0,Normal
117.0,Istanbul,Bahçelievler,Merkez,14000000,3.0,1.0,2,0,1,Normal
67.0,Istanbul,Kağıthane,Gültepe,6100000,1.0,1.0,1,0,1,Normal
